onset duration sample trial eventIdentifier StimulusOn StimulusOff TargetOn TargetOff SFIX EFIX SSACC ESACC num_trial num_block dir_target proba switch
201.196 2.633 1072956 56 "TRIALID 55" 1073554 1074374 1074675 1075457 "[1073516, 1073736, 1074901, 1075066]" "[1073712.0, 1074866.0, 1075034.0, 1075556.0]" "[1073713, 1074867, 1075035]" "[1073735.0, 1074900.0, 1075065.0]" 56 1 0.0 0.15951564251606967 0.0
204.929 2.342 1076689 57 "TRIALID 56" 1077295 1077834 1078135 1078905 "[1077249, 1077513, 1078352, 1078523]" "[1077491.0, 1078313.0, 1078499.0, 1079003.0]" "[1077492, 1078314, 1078500]" "[1077512.0, 1078351.0, 1078522.0]" 57 1 0.0 0.15951564251606967 0.0
208.371 2.271 1080131 58 "TRIALID 57" 1080734 1081189 1081489 1082271 "[1080691, 1080923, 1081711, 1081870, 1082327]" "[1080900.0, 1081683.0, 1081844.0, 1082306.0, 1082370.0]" "[1080901, 1081684, 1081845, 1082307]" "[1080922.0, 1081710.0, 1081869.0, 1082326.0]" 58 1 0.0 0.15951564251606967 0.0
211.743 2.598 1083503 59 "TRIALID 58" 1084121 1084887 1085188 1085970 "[1084064, 1084353, 1085409, 1085581]" "[1084332.0, 1085371.0, 1085557.0, 1086069.0]" "[1084333, 1085372, 1085558]" "[1084352.0, 1085408.0, 1085580.0]" 59 1 0.0 0.15951564251606967 0.0
215.442 2.491 1087202 60 "TRIALID 59" 1087815 1088474 1088775 1089552 "[1087764, 1087990, 1088986, 1089184]" "[1087963.0, 1088959.0, 1089163.0, 1089661.0]" "[1087964, 1088960, 1089164]" "[1087989.0, 1088985.0, 1089183.0]" 60 1 1.0 0.15951564251606967 0.0
219.034 2.511 1090794 61 "TRIALID 60" 1091402 1092106 1092406 1093185 "[1091355, 1091652, 1092629, 1092809]" "[1091633.0, 1092590.0, 1092777.0, 1093286.0]" "[1091634, 1092591, 1092778]" "[1091651.0, 1092628.0, 1092808.0]" 61 1 0.0 0.15951564251606967 0.0
222.646 2.471 1094406 62 "TRIALID 61" 1095001 1095659 1095959 1096734 "[1094966, 1096172, 1096327]" "[1096144.0, 1096302.0, 1096845.0]" "[1096145, 1096303]" "[1096171.0, 1096326.0]" 62 1 0.0 0.15951564251606967 0.0
226.218 2.627 1097978 63 "TRIALID 62" 1098584 1099386 1099687 1100466 "[1098539, 1099123, 1099903, 1100158, 1100515]" "[1099103.0, 1099865.0, 1100138.0, 1100493.0, 1100573.0]" "[1099104, 1099866, 1100139, 1100494]" "[1099122.0, 1099902.0, 1100157.0, 1100514.0]" 63 1 0.0 0.15951564251606967 0.0
229.945 2.384 1101705 64 "TRIALID 63" 1102311 1102891 1103191 1103964 "[1102266, 1102548, 1102718, 1103431, 1103656]" "[1102539.0, 1102698.0, 1103391.0, 1103633.0, 1104070.0]" "[1102540, 1102699, 1103392, 1103634]" "[1102547.0, 1102717.0, 1103430.0, 1103655.0]" 64 1 0.0 0.15951564251606967 0.0
233.429 2.622 1105189 65 "TRIALID 64" 1105798 1106598 1106898 1107679 "[1105757, 1106009, 1106223, 1107122, 1107273]" "[1105995.0, 1106204.0, 1107097.0, 1107249.0, 1107779.0]" "[1105996, 1106205, 1107098, 1107250]" "[1106008.0, 1106222.0, 1107121.0, 1107272.0]" 65 1 1.0 0.15951564251606967 0.0
237.151 2.64 1108911 66 "TRIALID 65" 1109509 1110331 1110631 1111412 "[1109472, 1110867, 1111046]" "[1110829.0, 1111014.0, 1111518.0]" "[1110830, 1111015]" "[1110866.0, 1111045.0]" 66 1 0.0 0.15951564251606967 0.0
240.891 2.425 1112651 67 "TRIALID 66" 1113249 1113862 1114163 1114945 "[1113213, 1113444, 1114383, 1114534]" "[1113423.0, 1114346.0, 1114509.0, 1115044.0]" "[1113424, 1114347, 1114510]" "[1113443.0, 1114382.0, 1114533.0]" 67 1 0.0 0.15951564251606967 0.0
244.417 2.498 1116177 68 "TRIALID 67" 1116790 1117461 1117762 1118543 "[1116738, 1117015, 1117187, 1118000, 1118253]" "[1116995.0, 1117165.0, 1117961.0, 1118232.0, 1118642.0]" "[1116996, 1117166, 1117962, 1118233]" "[1117014.0, 1117186.0, 1117999.0, 1118252.0]" 68 1 0.0 0.15951564251606967 0.0
248.015 2.41 1119775 69 "TRIALID 68" 1120393 1120986 1121286 1122059 "[1120335, 1121501, 1121716]" "[1121462.0, 1121695.0, 1122166.0]" "[1121463, 1121696]" "[1121500.0, 1121715.0]" 69 1 0.0 0.15951564251606967 0.0
251.525 2.548 1123285 70 "TRIALID 69" 1123887 1124634 1124934 1125707 "[1123845, 1124106, 1125164, 1125325]" "[1124085.0, 1125138.0, 1125301.0, 1125814.0]" "[1124086, 1125139, 1125302]" "[1124105.0, 1125163.0, 1125324.0]" 70 1 0.0 0.15951564251606967 0.0
255.173 2.436 1126933 71 "TRIALID 70" 1127542 1128171 1128471 1129241 "[1127502, 1127730, 1127876, 1128688, 1128851]" "[1127711.0, 1127855.0, 1128661.0, 1128827.0, 1129350.0]" "[1127712, 1127856, 1128662, 1128828]" "[1127729.0, 1127875.0, 1128687.0, 1128850.0]" 71 1 0.0 0.15951564251606967 0.0
